inn,name,alias,isin,sector,emitter_id
3334002490,"ООО ""ОРТИКОН-С""",ДФЮгр34002,,,
7708813750,"АО ""АВТОБАН-ФИНАНС""",АВТОБФ,,,
7736617998,"ООО ""СБЕРБАНК-ФИНАНС""",Сбер2СУБ2R,,,
1650030847,"ФБСП ПАО ""КАМАЗ""",КАМАЗ,,,
7721565507,"АО ""СОВКОМ""",СовкоКап01,,,
1215217767,"ООО ""СП12""",ВИС,,,
9718179953,"ООО ""НОВЫЕ НОВЫЕ МЕДИА""",НовТех1Р4,,,
6321274526,"ООО ""РЕСТОР""",реСтор1Р3,,,
7714482955,"ООО ""ФСК АКТИВЫ""",FSKAktv1P1,,,
3652904371,"ООО ""ЭКОНИВА""",ЭкоНив1Р01,,,
7838365595,"АО ГК ""АЗОТ""",ГКАзот1Р02,,,
7736328675,"АО ""МЕДСКАН""",Медскан1Р1,,,
7729523682,"ООО ""ГЕЛЬТЕК-МЕДИКА""",ГТЕК,,,
7708332581,"АО ""РЖД-ИП""",РЖД,,,
7727525853,"АО ""РЕ-ФИНАНС""",ЕврХол3P04,,,
7704810149,"ООО ""А101""",А101,,,
7726588547,"ООО ""ГАЗПРОМ КАПИТАЛ""",ГазпромКP6,,,
7803053813,"РОО ""ПБО""",sВЭБ2P-33,,,
9718077239,"ПАО ""ГРУППА ПОЗИТИВ""",iПозитивР3,,,
6234074915,РЯЗАНСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОГО ПРОФСОЮЗА ОБРАЗОВАНИЯ,Томскобл25,,,
7810245481,"ООО ""СЭТЛ ГРУПП""",СэтлГрБ2P3,,,
6234008310,"ООО ""ОБЛАСТНАЯ НАЛОГОВАЯ КОНСУЛЬТАЦИЯ""",Ульоб34008,,,
7802131219,"ООО ""ИНТЕРЛИЗИНГ""",ИнтЛиз1Р11,,,
7803053813,"РОО ""ПБО""",ТелХолБ2-9,,,
7705634425,"ПАО ""НОВАБЕВ ГРУПП""",НоваБевБП5,,,
7727547261,"ПАО ""СИБУР ХОЛДИНГ""",СибурХ1Р07,,,
6658536909,"ООО ""ВСЕМ ООО ООО""",О'КЕЙ,,,
3900019850,"МКПАО ""ЯНДЕКС""",ЯНДЕКС1Р2,,,
4205119220,"АО ХК ""НОВОТРАНС""",Новотр,,,
7810962785,"АО ""СЕЛЕКТЕЛ""",iСелктл1Р6,,,
9705101614,"ПАО ""ЛК ""ЕВРОПЛАН""",Европлн1Р9,,,
7736581195,"ООО ""ИЦ ФОСАГРО""",ФосАгро2П6,,,
6234024255,"ООО ""РЯЗАНЬАГРОДОРСТРОЙ""",Новосиб,,,
6150003450,"ПАО ""МАГНИТ""",Магнит4P08,,,
7007011533,"ООО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",МТС,,,
3334015322,"ООО ""ЧАРОДЕЙКА""",Башкорт25,,,
7816430057,"ПАО ""ИНАРКТИКА""",Инаркт2Р4,,,
2526007482,"АО ""СК РУСГИДРО""",РусГид2Р08,,,
7840017651,"ТОП ПАО ""РОСТЕЛЕКОМ"" ""С-З""",РостелP25R,,,
5018105941,"НП ""ПСБ""",ПСБ,,,
7715630469,"ООО ""ИКС 5 ФИНАНС""",ИКС5Ф3P11,,,
4205241205,"АО ""АВТОДОР""",Автодр5Р16,,,
